latitude;longitude;altitude;time;satellites
46.3119422;7.76775;694;2022-07-29T14:16:06.084000+02:00;10
46.3117318;7.7675095;680;2022-07-29T14:46:03.959000+02:00;11
46.3113059;7.7674201;634;2022-07-29T15:16:44.943000+02:00;13
46.3117009;7.7676565;692;2022-07-29T15:39:02.341000+02:00;7
46.3122022;7.7671513;671;2022-07-29T15:48:46.324000+02:00;10
46.3116939;7.7676816;696;2022-07-29T16:18:35.218000+02:00;9
