latitude;longitude;altitude;time;satellites
46.3119557;7.766091;818;2022-07-29T14:22:33.535000+02:00;7
46.3108619;7.7665292;752;2022-07-29T14:52:14.367000+02:00;8
46.3116887;7.7673135;693;2022-07-29T15:22:33.350000+02:00;11
46.3117664;7.7674584;666;2022-07-29T15:52:10.190000+02:00;7
46.3110903;7.7668457;743;2022-07-29T16:23:03.286000+02:00;11
