latitude;longitude;altitude;time;satellites
46.3110732;7.7678392;936;2022-07-29T14:30:19.945000+02:00;8
46.3118837;7.7676149;657;2022-07-29T15:00:39.045000+02:00;9
46.3109989;7.7664125;902;2022-07-29T15:30:51.182000+02:00;13
46.3116515;7.7679313;835;2022-07-29T16:30:10.183000+02:00;11
